N,Triton,Torch
1024.000000,384.000001,438.857137
1536.000000,472.615401,478.753266
2048.000000,534.260858,506.721668
2560.000000,614.400016,495.483878
3072.000000,646.736830,457.937878
3584.000000,672.000002,438.857157
4096.000000,697.191505,427.408686
4608.000000,722.823525,411.122660
5120.000000,735.808359,415.135117
5632.000000,746.784548,403.486580
6144.000000,756.184613,386.010473
6656.000000,764.325340,389.619505
7168.000000,778.425358,386.588753
7680.000000,784.340427,384.801663
8192.000000,789.590348,381.023277
8704.000000,803.446152,371.040866
9216.000000,804.305459,369.872901
9728.000000,816.335679,367.094333
10240.000000,824.697989,362.477886
10752.000000,827.076952,358.399995
11264.000000,824.195135,356.643795
11776.000000,831.247062,347.630988
12288.000000,833.084772,348.595753
12800.000000,837.057219,345.556799
13312.000000,842.976243,340.605550
13824.000000,846.367375,345.960366
14336.000000,849.540743,340.657423
14848.000000,848.457150,340.355283
15360.000000,853.333332,338.512388
15872.000000,852.187922,337.234991
